Date,GLD,IEF,IWM,QQQ,SHY,SPY,TLT
2017-04-10,119.45999908447266,85.97837829589844,121.28690338134766,124.2606201171875,70.03429412841797,204.0719451904297,94.32646942138672
2017-04-11,121.19000244140625,86.37655639648438,122.25133514404297,123.7240982055664,70.10065460205078,203.8291778564453,95.22098541259766
2017-04-12,122.0199966430664,86.6447525024414,120.59036254882812,123.22525787353516,70.15038299560547,202.93597412109375,95.74217224121094
2017-04-13,122.5999984741211,86.90475463867188,119.41157531738281,122.73580932617188,70.18353271484375,201.61795043945312,96.0377197265625
2017-04-17,122.23999786376953,86.7666244506836,120.81356811523438,123.75230407714844,70.17523956298828,203.40428161621094,95.74217224121094
2017-04-18,122.81999969482422,87.2623291015625,120.84040069580078,123.56413269042969,70.23326110839844,202.7972412109375,96.99440002441406
2017-04-19,121.7300033569336,87.0347900390625,121.2601089477539,123.76177215576172,70.20014953613281,202.42445373535156,96.46549224853516
2017-04-20,121.95999908447266,86.8397445678711,122.80498504638672,124.79712677001953,70.19186401367188,204.0719451904297,96.09214782714844
2017-04-21,122.30999755859375,86.88042449951172,122.5281753540039,124.76890563964844,70.22499084472656,203.42160034179688,96.09214782714844
2017-04-24,121.4800033569336,86.70158386230469,124.05521392822266,126.27481842041016,70.15038299560547,205.65879821777344,95.6176528930664
2017-04-25,120.25,86.25467681884766,125.26071166992188,127.18777465820312,70.08403015136719,206.85548400878906,94.46654510498047
2017-04-26,120.83999633789062,86.48223114013672,125.90367889404297,127.00899505615234,70.10891723632812,206.72537231445312,94.98765563964844
2017-04-27,120.38999938964844,86.53904724121094,125.86800384521484,127.77140808105469,70.13377380371094,206.8988037109375,94.95653533935547
2017-04-28,120.7699966430664,86.62847137451172,124.18022155761719,127.99726104736328,70.16691589355469,206.44789123535156,95.16655731201172
2017-05-01,119.66999816894531,86.4413070678711,124.8946304321289,129.13613891601562,70.11882781982422,206.9681854248047,94.37540435791016
2017-05-02,119.6500015258789,86.62031555175781,124.26053619384766,129.35264587402344,70.14371490478516,207.0462646484375,94.8586654663086
2017-05-03,117.9800033569336,86.4413070678711,123.49258422851562,128.93846130371094,70.09395599365234,206.7947540283203,94.92098999023438
2017-05-04,116.79000091552734,86.24593353271484,123.32299041748047,128.98553466796875,70.08563995361328,207.03753662109375,94.45333862304688
2017-05-05,117.01000213623047,86.26221466064453,124.11771392822266,129.45616149902344,70.11051177978516,207.85269165039062,94.5390853881836
2017-05-08,116.75,86.0506591796875,123.5997314453125,129.7384796142578,70.07730865478516,207.8179931640625,94.02465057373047
